name,wer,wer_n,cer,cer_n,transcription,prediction
p343_015,0.0,0.0,1.1111111111111112,1.0869565217391304,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.," The Greeks used to imagine that it was a sign from the gods to foretell war, or heavy rain."
p343_016,4.761904761904762,4.545454545454546,4.504504504504505,4.23728813559322,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.," The Norsemen, considered the rainbow, as a bridge over which the gods passed from the earth to their home in the sky."
p343_018,0.0,0.0,0.0,0.0,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
p343_019,0.0,0.0,2.564102564102564,2.5210084033613445,"Since the physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."," since the physicists have found that it is not reflection, but refraction by the raindrops, which causes the rainbows"
p343_020,0.0,0.0,3.389830508474576,3.3333333333333335,Many contemplated ideas about the rainbow have been formed., many contemplated ideas about the rainbow have been formed
p343_021,0.0,0.0,0.0,0.0,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."," The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."
p343_022,10.526315789473683,10.526315789473683,45.54455445544555,36.507936507936506,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., The actual primary rainbow observed is said to be the effect of superimposition of a number of bows.
p343_023,2.7777777777777777,2.857142857142857,2.8089887640449436,2.7777777777777777,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," if the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light one mixed, form yellow."
p343_024,9.523809523809524,9.523809523809524,11.76470588235294,11.214953271028037,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."," this is a very common type of bow, one showing mainly red and yellow, with little or no greener blue"
p343_025,0.0,0.0,7.6923076923076925,7.4074074074074066,I've got a long way to go., i've got a long way to go
p343_026,0.0,0.0,0.0,0.0,I'll go to the races., I'll go to the races.
p343_027,0.0,0.0,7.6923076923076925,7.4074074074074066,We will be back next year., we will be back next year
p343_028,0.0,0.0,2.380952380952381,2.3255813953488373,"I was very, very pleased with our display."," I was very, very pleased with our display"
p343_029,0.0,0.0,9.090909090909092,8.695652173913043,It is a crucial award., it is a crucial award
p343_030,0.0,0.0,0.0,0.0,"People don't feel safe, including me."," People don't feel safe, including me."
p343_031,0.0,0.0,0.0,0.0,Survival is our aim., Survival is our aim.
p343_032,0.0,0.0,8.695652173913043,8.333333333333332,But it might have done., but it might have done
p343_033,0.0,0.0,7.6923076923076925,7.4074074074074066,Nor is it likely to do so., nor is it likely to do so
p343_034,0.0,0.0,6.25,5.88235294117647,What can you do?, what can you do?
p343_035,0.0,0.0,9.523809523809524,8.695652173913043,I read it every year.," I read it, every year"
p343_036,0.0,0.0,4.545454545454546,4.3478260869565215,I go in for the parts., I go in for the parts
p343_037,0.0,0.0,8.0,7.6923076923076925,It should be the reverse., it should be the reverse
p343_038,0.0,0.0,3.3333333333333335,3.225806451612903,We are a team of hard workers., We are a team of hard workers
p343_039,20.0,20.0,25.0,23.52941176470588,It is up to Ann., it is up to an
p343_040,0.0,0.0,8.695652173913043,8.333333333333332,And you know something?, and you know something
p343_041,0.0,0.0,6.25,6.0606060606060606,We were with him the whole time., we were with him the whole time
p343_042,0.0,0.0,7.142857142857142,6.896551724137931,"That was the theory, anyway."," that was the theory, anyway"
p343_043,0.0,0.0,7.4074074074074066,7.142857142857142,We've all been here before., we've all been here before
p343_044,0.0,0.0,2.941176470588235,2.857142857142857,I had troubles with the producers., I had troubles with the producers
p343_045,0.0,0.0,7.6923076923076925,7.5,"So, it took me back to boarding school.", so it took me back to boarding school
p343_046,0.0,0.0,7.4074074074074066,7.142857142857142,He died the following year., he died the following year
p343_047,0.0,0.0,2.7777777777777777,2.7027027027027026,That's what we're trying to achieve., That's what we're trying to achieve
p343_048,0.0,0.0,8.0,7.6923076923076925,He is trying really hard., he is trying really hard
p343_049,0.0,0.0,7.4074074074074066,7.142857142857142,I have no doubt about that., i have no doubt about that
p343_050,0.0,0.0,3.8461538461538463,3.7037037037037033,It is a beautiful country., It is a beautiful country
p343_051,0.0,0.0,0.0,0.0,I expect a rapid response., I expect a rapid response.
p343_052,0.0,0.0,7.5,7.317073170731707,There was still more disquiet in Israel., there was still more disquiet in israel
p343_053,0.0,0.0,6.451612903225806,6.25,This was never a support group., this was never a support group
p343_054,0.0,0.0,5.263157894736842,5.0,I must take a seat., I must take a seat
p343_055,0.0,0.0,9.523809523809524,9.090909090909092,My mother is a widow., my mother is a widow
p343_056,0.0,0.0,2.380952380952381,2.3255813953488373,Being a taxi driver right now is horrible., Being a taxi driver right now is horrible
p343_057,0.0,0.0,0.0,0.0,"Thankfully, there were no reports of anything serious."," Thankfully, there were no reports of anything serious."
p343_058,0.0,0.0,6.666666666666667,6.451612903225806,The matter will come up again., the matter will come up again
p343_059,0.0,0.0,2.7777777777777777,2.7027027027027026,I don't believe in gesture politics., I don't believe in gesture politics
p343_060,0.0,0.0,4.761904761904762,4.651162790697675,The decision is purely down to the clinic., the decision is purely down to the clinic
p343_061,0.0,0.0,7.4074074074074066,7.142857142857142,He should be a great asset., he should be a great asset
p343_062,0.0,0.0,4.878048780487805,4.761904761904762,But that's another story for another day., but that's another story for another day
p343_063,0.0,0.0,11.11111111111111,10.526315789473683,One thing is sure., one thing is sure
p343_064,0.0,0.0,8.333333333333332,8.0,He has really done well., he has really done well
p343_065,0.0,0.0,3.3333333333333335,3.225806451612903,I'm just delighted to take it., I'm just delighted to take it
p343_066,0.0,0.0,4.761904761904762,4.651162790697675,This happened on three days inside a week., this happened on three days inside a week
p343_067,0.0,0.0,33.33333333333333,27.77777777777778,Funding needs to be long term., funding needs to be long-term
p343_068,0.0,0.0,6.0606060606060606,5.88235294117647,It's funny how it comes and goes., it's funny how it comes and goes
p343_069,0.0,0.0,11.11111111111111,10.526315789473683,It was just awful., it was just awful
p343_070,25.0,25.0,10.526315789473683,10.0,That is really all., That is really old.
p343_071,0.0,0.0,9.523809523809524,9.090909090909092,We played too deeply., we played too deeply
p343_072,0.0,0.0,6.451612903225806,6.25,We could have got three medals., we could have got three medals
p343_073,0.0,0.0,5.88235294117647,5.555555555555555,I am ready to go., I am ready to go!
p343_074,0.0,0.0,6.0606060606060606,5.88235294117647,We are still suffering from that., we are still suffering from that
p343_075,0.0,0.0,9.523809523809524,9.090909090909092,The script was funny., the script was funny
p343_076,0.0,0.0,8.0,7.6923076923076925,We are at the crossroads., we are at the crossroads
p343_077,0.0,0.0,2.5,2.4390243902439024,I am about protecting the state pension., I am about protecting the state pension
p343_078,0.0,0.0,6.896551724137931,6.666666666666667,They were at school together., they were at school together
p343_079,0.0,0.0,2.7027027027027026,2.631578947368421,I am looking forward to getting home., I am looking forward to getting home
p343_080,0.0,0.0,5.555555555555555,5.405405405405405,"Painful, but only because it's true."," painful, but only because it's true"
p343_081,0.0,0.0,7.6923076923076925,7.317073170731707,Once they go away they won't come back.," once they go away, they won't come back"
p343_082,0.0,0.0,2.2222222222222223,2.1739130434782608,"Colonel, About this committee that is coming."," Colonel, about this committee that is coming."
p343_083,0.0,0.0,7.4074074074074066,7.142857142857142,That was the easy election., that was the easy election
p343_084,0.0,0.0,4.3478260869565215,4.166666666666666,I didn't understand it., I didn't understand it
p343_085,0.0,0.0,4.0,3.9215686274509802,We should keep this recent assault in perspective., we should keep this recent assault in perspective
p343_086,0.0,0.0,5.714285714285714,5.555555555555555,Both sides have been hit by injury., both sides have been hit by injury
p343_087,0.0,0.0,9.523809523809524,9.090909090909092,No one was listening., no one was listening
p343_088,0.0,0.0,0.0,0.0,I will report in the spring., I will report in the spring.
p343_089,33.33333333333333,28.57142857142857,45.714285714285715,38.095238095238095,We did discuss the Lockerbie issue., we did discuss the locker bee issue
p343_090,0.0,0.0,0.0,0.0,"I am a soldier, a soldier, a soldier."," I am a soldier, a soldier, a soldier."
p343_091,0.0,0.0,0.0,0.0,It's terrible that this is happening., It's terrible that this is happening.
p343_092,0.0,0.0,0.0,0.0,He's got the same story., He's got the same story.
p343_093,10.0,10.0,8.620689655172415,8.333333333333332,"They were going through the motions, but that's about all."," they were going through the motions, with that's about all"
p343_094,0.0,0.0,5.555555555555555,5.405405405405405,"It is par for the course, of course."," it is par for the course, of course"
p343_095,0.0,0.0,11.11111111111111,10.526315789473683,And so it goes on., and so it goes on
p343_096,0.0,0.0,0.0,0.0,The winner will be announced next month., The winner will be announced next month.
p343_097,0.0,0.0,0.0,0.0,What was this?, What was this?
p343_098,0.0,0.0,0.0,0.0,I am not a fan of books., I am not a fan of books.
p343_099,0.0,0.0,9.090909090909092,8.695652173913043,It may well have been., it may well have been
p343_100,0.0,0.0,3.8461538461538463,3.7735849056603774,"Frankly, the party was not being honest with itself."," frankly, the party was not being honest with itself"
p343_101,0.0,0.0,11.11111111111111,10.526315789473683,We can only go up., we can only go up
p343_102,0.0,0.0,5.555555555555555,5.263157894736842,I am not a doctor., I am not a doctor
p343_103,0.0,0.0,9.090909090909092,8.695652173913043,It is all in the mind., it is all in the mind
p343_104,0.0,0.0,6.451612903225806,6.25,And we have beaten them before., and we have beaten them before
p343_105,0.0,0.0,4.444444444444445,4.3478260869565215,Many others are subjected to violence by men., many others are subjected to violence by men
p343_106,0.0,0.0,0.0,0.0,"Actually, it turned out to be the concerto."," Actually, it turned out to be the concerto."
p343_107,20.0,20.0,45.45454545454545,43.47826086956522,I am not a paedophile., I am not a pedophile.
p343_108,0.0,0.0,8.333333333333332,8.0,I've got to get noticed!, i've got to get noticed
p343_109,0.0,0.0,8.695652173913043,8.333333333333332,Not that it was needed., not that it was needed
p343_110,33.33333333333333,28.57142857142857,46.15384615384615,37.5,It's up to them to decide., it's up to them to the side
p343_111,0.0,0.0,7.4074074074074066,7.142857142857142,But we can't have a casino., but we can't have a casino
p343_112,0.0,0.0,2.7027027027027026,2.631578947368421,I would love to play in Europe again., I would love to play in Europe again
p343_113,0.0,0.0,7.6923076923076925,7.4074074074074066,The odds are that it will., the odds are that it will
p343_114,0.0,0.0,0.0,0.0,"After this, they were always in the driving seat."," After this, they were always in the driving seat."
p343_115,0.0,0.0,0.0,0.0,I had no intention of misleading anyone., I had no intention of misleading anyone.
p343_116,0.0,0.0,0.0,0.0,But let's not get ahead of ourselves., But let's not get ahead of ourselves.
p343_117,0.0,0.0,0.0,0.0,He also has property interests in the country., He also has property interests in the country.
p343_118,12.5,12.5,7.317073170731707,6.976744186046512,That is the position the MoD has adopted., That is the position that MOD has adopted.
p343_119,0.0,0.0,4.651162790697675,4.545454545454546,The hearing was expected to last six weeks., the hearing was expected to last six weeks
p343_120,0.0,0.0,0.0,0.0,I cannot believe this decision., I cannot believe this decision.
p343_121,0.0,0.0,5.263157894736842,5.128205128205128,This decision is destroying my family., this decision is destroying my family
p343_122,0.0,0.0,0.0,0.0,Why is that?, Why is that?
p343_123,0.0,0.0,6.666666666666667,6.451612903225806,"Well, the big day has arrived."," well, the big day has arrived"
p343_124,0.0,0.0,6.666666666666667,6.451612903225806,We reckon we can do very well., we reckon we can do very well
p343_125,0.0,0.0,6.25,6.0606060606060606,But it's been kept to a minimum., but it's been kept to a minimum
p343_126,0.0,0.0,8.333333333333332,8.0,It has been a great day., it has been a great day
p343_127,0.0,0.0,10.0,9.523809523809524,We are not with you., we are not with you
p343_128,0.0,0.0,9.523809523809524,9.090909090909092,Then came the crunch., then came the crunch
p343_129,0.0,0.0,8.695652173913043,8.333333333333332,"If so, they were wrong."," if so, they were wrong"
p343_130,0.0,0.0,8.823529411764707,8.571428571428571,It is open season on the Old Firm., It is open season on the old firm
p343_131,0.0,0.0,10.0,9.523809523809524,The answer is maybe., the answer is maybe
p343_132,0.0,0.0,7.894736842105263,7.6923076923076925,The dictator of Iraq is not disarming., the dictator of iraq is not disarming
p343_133,0.0,0.0,6.25,6.0606060606060606,The referee had a shocking game., the referee had a shocking game
p343_134,0.0,0.0,0.0,0.0,I haven't been able to do it since., I haven't been able to do it since.
p343_135,0.0,0.0,8.333333333333332,8.0,It's about doing things., it's about doing things
p343_136,0.0,0.0,6.25,6.0606060606060606,For a few years we had good fun., for a few years we had good fun
p343_137,0.0,0.0,0.0,0.0,All the pressure will be on him., All the pressure will be on him.
p343_139,0.0,0.0,4.878048780487805,4.761904761904762,This is the logic of punishment assaults., this is the logic of punishment assaults
p343_140,0.0,0.0,8.695652173913043,8.333333333333332,That was a good effort., that was a good effort
p343_141,0.0,0.0,5.128205128205128,5.0,We are very hopeful he will be cleared., we are very hopeful he will be cleared
p343_142,0.0,0.0,2.857142857142857,2.7777777777777777,He must not be removed from office., He must not be removed from office
p343_143,20.0,20.0,11.538461538461538,11.11111111111111,He had finally had enough., he has finally had enough
p343_144,16.666666666666664,16.666666666666664,17.857142857142858,16.666666666666664,But not all were so defiant., but not all we're so defiant
p343_145,0.0,0.0,5.405405405405405,5.263157894736842,We are not going to get carried away., we are not going to get carried away
p343_146,0.0,0.0,3.8461538461538463,3.7037037037037033,I told that to the police., I told that to the police
p343_147,0.0,0.0,0.0,0.0,"On the other hand, the poster did not help."," On the other hand, the poster did not help."
p343_148,0.0,0.0,0.0,0.0,"In the end, we did not spend a penny on him."," In the end, we did not spend a penny on him."
p343_149,0.0,0.0,53.333333333333336,42.10526315789473,But when we do it it is great.," but when we do it, it is great"
p343_150,33.33333333333333,28.57142857142857,19.230769230769234,16.666666666666664,I'm going to win the gold., I am going to win the gold
p343_151,0.0,0.0,0.0,0.0,He pleaded for caution., He pleaded for caution.
p343_152,12.5,12.5,17.647058823529413,15.384615384615385,It always had to be about the gym., They'd always had to be about the gym.
p343_153,0.0,0.0,9.523809523809524,9.090909090909092,Only one got through., only one got through
p343_154,0.0,0.0,0.0,0.0,It's like a garage., It's like a garage.
p343_155,0.0,0.0,6.896551724137931,6.666666666666667,They've been wonderful to me., they've been wonderful to me
p343_157,0.0,0.0,4.0,3.8461538461538463,I can't believe the buzz., I can't believe the buzz
p343_158,0.0,0.0,8.695652173913043,8.333333333333332,It is a traffic warden., it is a traffic warden
p343_159,0.0,0.0,5.0,4.878048780487805,"When it comes down to it, this is a job."," when it comes down to it, this is a job"
p343_160,0.0,0.0,6.25,6.0606060606060606,It had been played at festivals., it had been played at festivals
p343_161,0.0,0.0,5.405405405405405,5.263157894736842,That never came to court as a charge., that never came to court as a charge
p343_162,0.0,0.0,9.523809523809524,9.090909090909092,Dancing was her life., dancing was her life
p343_163,0.0,0.0,8.0,7.6923076923076925,The latter way is my way., the latter way is my way
p343_164,0.0,0.0,0.0,0.0,Staff have been informed., Staff have been informed.
p343_165,0.0,0.0,7.6923076923076925,7.4074074074074066,It is one of those things., it is one of those things
p343_166,0.0,0.0,0.0,0.0,His is a success story by any standard., His is a success story by any standard.
p343_167,0.0,0.0,8.0,7.6923076923076925,Are his works inside out?, are his works inside out
p343_168,0.0,0.0,10.526315789473683,10.0,He can do no wrong., he can do no wrong
p343_169,0.0,0.0,0.0,0.0,"On reflection, it was really quite exciting."," On reflection, it was really quite exciting."
p343_170,0.0,0.0,2.7777777777777777,2.7027027027027026,Do they have to create seven majors?, do they have to create seven majors?
p343_171,0.0,0.0,5.263157894736842,5.128205128205128,It has been handled entirely properly., it has been handled entirely properly
p343_172,12.5,11.11111111111111,18.91891891891892,16.666666666666664,I shall be voting Yes to support him., I shall be voting the yes to support him
p343_173,0.0,0.0,5.555555555555555,5.405405405405405,Is something which we just don't do., is something which we just don't do
p343_174,0.0,0.0,7.6923076923076925,7.4074074074074066,That began as an accident., that began as an accident
p343_175,11.11111111111111,11.11111111111111,23.076923076923077,22.5,"It is, though the law is not clear cut.", it is so the law is not clear cut
p343_176,14.285714285714285,14.285714285714285,2.7027027027027026,2.631578947368421,He will want to utilise the midfield., He will want to utilize the midfield.
p343_177,33.33333333333333,28.57142857142857,12.82051282051282,11.627906976744185,Two others were also seriously injured., Two others were all so seriously injured
p343_178,0.0,0.0,2.941176470588235,2.857142857142857,I am looking forward to this film., I am looking forward to this film
p343_179,0.0,0.0,5.128205128205128,5.0,This has been very frustrating for him., this has been very frustrating for him
p343_180,0.0,0.0,5.88235294117647,5.714285714285714,The talking cannot go on too long., the talking cannot go on too long
p343_181,0.0,0.0,4.166666666666666,4.0,I've got a young family., I've got a young family
p343_182,0.0,0.0,2.7027027027027026,2.631578947368421,I hope that that will be forthcoming., I hope that that will be forthcoming
p343_183,0.0,0.0,2.7777777777777777,2.7027027027027026,But experience is a wonderful thing., But experience is a wonderful thing
p343_184,0.0,0.0,4.878048780487805,4.761904761904762,Footage has been passed on to the police., footage has been passed on to the police
p343_185,0.0,0.0,0.0,0.0,"Of course, there was still much to be done."," Of course, there was still much to be done."
p343_186,0.0,0.0,4.878048780487805,4.761904761904762,"If he does, he has a real chance of gold."," if he does, he has a real chance of gold"
p343_187,57.14285714285714,57.14285714285714,75.0,53.73134328358209,"Next league matches, Motherwell - Dundee United."," next league matches, mother well, done deunited"
p343_188,0.0,0.0,11.11111111111111,10.526315789473683,It was good today., it was good today
p343_189,0.0,0.0,6.25,6.0606060606060606,She really suffered for her art., she really suffered for her art
p343_190,0.0,0.0,5.555555555555555,5.405405405405405,I wouldn't want to miss that chance., i wouldn't want to miss that chance
p343_191,0.0,0.0,8.0,7.6923076923076925,That tells you something., that tells you something
p343_192,0.0,0.0,6.896551724137931,6.666666666666667,It has been a magical moment., it has been a magical moment
p343_193,0.0,0.0,5.0,4.761904761904762,Is that not uncanny?, is that not uncanny?
p343_194,0.0,0.0,0.0,0.0,Surrender is not an appealing or realistic prospect., Surrender is not an appealing or realistic prospect.
p343_195,0.0,0.0,10.526315789473683,10.0,The hotel was huge., the hotel was huge
p343_196,0.0,0.0,10.0,9.523809523809524,These days are over., these days are over
p343_197,0.0,0.0,0.0,0.0,A handful of those restrictions are in Scotland., A handful of those restrictions are in Scotland.
p343_198,0.0,0.0,11.538461538461538,11.11111111111111,"Well, you can have a tree.", well you can have a tree
p343_199,0.0,0.0,11.11111111111111,10.526315789473683,Or so it is hoped., or so it is hoped
p343_201,0.0,0.0,5.88235294117647,5.714285714285714,He said to give a local injection., he said to give a local injection
p343_202,0.0,0.0,3.7037037037037033,3.571428571428571,This is an internal matter., This is an internal matter!
p343_203,0.0,0.0,0.0,0.0,Entries from the event are still being accepted., Entries from the event are still being accepted.
p343_204,16.666666666666664,16.666666666666664,8.571428571428571,8.333333333333332,They made such decisions in London., they made such decisions in mondon
p343_205,25.0,22.22222222222222,53.84615384615385,39.62264150943396,That has proved to be a lasting lesson., That has proved to be a last-game lesson.
p343_206,0.0,0.0,2.5,2.4390243902439024,I was influenced by all of these things., I was influenced by all of these things
p343_207,0.0,0.0,4.761904761904762,4.651162790697675,He is helping police with their inquiries., he is helping police with their inquiries
p343_208,0.0,0.0,6.666666666666667,6.521739130434782,The judges will give a ruling next Wednesday., the judges will give a ruling next wednesday
p343_209,0.0,0.0,6.666666666666667,6.451612903225806,Children also died in Britain., children also died in Britain
p343_210,0.0,0.0,2.1739130434782608,2.127659574468085,I did not understand the dynamics of Scotland., I did not understand the dynamics of Scotland
p343_211,0.0,0.0,9.523809523809524,9.090909090909092,We want to get there., we want to get there
p343_213,0.0,0.0,4.081632653061225,4.0,His appointment was generally welcomed yesterday., his appointment was generally welcomed yesterday
p343_214,0.0,0.0,5.263157894736842,5.128205128205128,He said he would appeal the sentences., he said he would appeal the sentences
p343_215,0.0,0.0,0.0,0.0,The hearing was fair., The hearing was fair.
p343_216,0.0,0.0,12.5,11.76470588235294,He has the edge., he has the edge
p343_217,12.5,12.5,10.81081081081081,10.526315789473683,This was not a summit about the euro., this was not a summit about the arrow
p343_218,0.0,0.0,5.714285714285714,5.555555555555555,"If he leaves, the band is finished."," if he leaves, the band is finished"
p343_219,0.0,0.0,7.142857142857142,6.896551724137931,He saw it all as a big game., he saw it all as a big game
p343_220,0.0,0.0,2.857142857142857,2.7777777777777777,I didn't actually work up a speech., I didn't actually work up a speech
p343_221,0.0,0.0,6.666666666666667,6.451612903225806,Here we have not had one hour., here we have not had one hour
p343_222,0.0,0.0,7.142857142857142,6.896551724137931,That was never their agenda., that was never their agenda
p343_223,0.0,0.0,7.142857142857142,6.896551724137931,But he kept on repeating it., but he kept on repeating it
p343_224,0.0,0.0,6.25,6.0606060606060606,She is currently in foster care., she is currently in foster care
p343_225,0.0,0.0,5.714285714285714,5.555555555555555,That's the only thing that matters., that's the only thing that matters
p343_226,0.0,0.0,3.4482758620689653,3.389830508474576,They were understanding and thoroughly deserved their win., they were understanding and thoroughly deserved their win
p343_227,0.0,0.0,2.380952380952381,2.3255813953488373,The service will only survive with change., The service will only survive with change
p343_228,0.0,0.0,11.11111111111111,10.81081081081081,"It is, however, an unlikely outcome.", it is however an unlikely outcome
p343_229,0.0,0.0,0.0,0.0,"As it was a double, it was pretty expensive."," As it was a double, it was pretty expensive."
p343_230,0.0,0.0,2.7027027027027026,2.631578947368421,You have a very persuasive president., You have a very persuasive president
p343_231,0.0,0.0,0.0,0.0,"It's always the same, isn't it?"," It's always the same, isn't it?"
p343_232,0.0,0.0,6.896551724137931,6.666666666666667,She has not returned to work., she has not returned to work
p343_233,0.0,0.0,6.451612903225806,6.25,We could learn a lot from them., we could learn a lot from them
p343_234,0.0,0.0,5.88235294117647,5.714285714285714,He is the saviour of South Africa., He is the Saviour of South Africa
p343_235,0.0,0.0,4.761904761904762,4.651162790697675,The players are obviously keen to do well., the players are obviously keen to do well
p343_236,28.57142857142857,28.57142857142857,8.333333333333332,8.108108108108109,Men should avoid it like the plague., Man should avoid it like to plague.
p343_237,0.0,0.0,9.523809523809524,9.090909090909092,It's really good fun., it's really good fun
p343_238,25.0,25.0,6.25,6.0606060606060606,Our positions remains unchanged., Our position remains unchanged
p343_239,0.0,0.0,6.896551724137931,6.666666666666667,We are expecting a big crowd., we are expecting a big crowd
p343_240,0.0,0.0,0.0,0.0,Is a drug dealer?, Is a drug dealer?
p343_241,0.0,0.0,6.25,6.0606060606060606,We did not complete the process., we did not complete the process
p343_242,0.0,0.0,9.803921568627452,9.615384615384617,"Obviously, people are worried in the West Midlands.", obviously people are worried in the west midlands
p343_243,0.0,0.0,0.0,0.0,Where are you taking her?, Where are you taking her?
p343_244,0.0,0.0,6.25,6.0606060606060606,The weather forecast isn't good., the weather forecast isn't good
p343_245,0.0,0.0,8.0,7.6923076923076925,They have not been named., they have not been named
p343_246,20.0,16.666666666666664,11.538461538461538,9.67741935483871,He died later in hospital., He died later in the hospital.
p343_247,0.0,0.0,5.0,4.878048780487805,"It is ambitious, but it can be achieved."," it is ambitious, but it can be achieved"
p343_248,0.0,0.0,10.0,9.523809523809524,He had a great game., he had a great game
p343_249,14.285714285714285,14.285714285714285,12.121212121212121,11.76470588235294,It's still got that at its heart., it still got that at its heart
p343_250,0.0,0.0,0.0,0.0,"Actually, nothing much will change."," Actually, nothing much will change."
p343_251,0.0,0.0,8.333333333333332,8.0,We will turn the corner., we will turn the corner
p343_252,0.0,0.0,0.0,0.0,"Of course, it is a tough assignment."," Of course, it is a tough assignment."
p343_253,0.0,0.0,6.896551724137931,6.666666666666667,There were too many mistakes., there were too many mistakes
p343_254,0.0,0.0,8.333333333333332,8.0,He says it often enough., he says it often enough
p343_255,0.0,0.0,5.263157894736842,5.128205128205128,"However, my position remains the same."," however, my position remains the same"
p343_256,0.0,0.0,6.451612903225806,6.25,It was totally out of the blue., it was totally out of the blue
p343_257,0.0,0.0,4.166666666666666,4.0,Horses are not affected., Horses are not affected
p343_258,0.0,0.0,10.526315789473683,10.0,It went on forever., it went on forever
p343_259,0.0,0.0,0.0,0.0,I'm not going to change from it., I'm not going to change from it.
p343_260,0.0,0.0,8.695652173913043,8.333333333333332,And they are different., and they are different
p343_261,0.0,0.0,5.555555555555555,5.405405405405405,It would have been very easily done., it would have been very easily done
p343_262,0.0,0.0,10.0,9.523809523809524,He knows the course., he knows the course
p343_263,0.0,0.0,9.523809523809524,9.090909090909092,That idea is rubbish., that idea is rubbish
p343_264,0.0,0.0,7.4074074074074066,7.142857142857142,There is no room for error., there is no room for error
p343_265,12.5,12.5,6.8181818181818175,6.666666666666667,Worry can have that effect on some citizens., worry can have that affect on some citizens
p343_266,20.0,16.666666666666664,19.230769230769234,16.666666666666664,"As, indeed, they would be."," as indeed, if they would be"
p343_267,10.0,10.0,10.909090909090908,9.836065573770492,"If he could have prevented it happening, he would have."," if he could have prevented it from happening, he would have"
p343_268,0.0,0.0,9.523809523809524,9.090909090909092,We are all suffering., we are all suffering
p343_269,0.0,0.0,5.128205128205128,5.0,People should make their own decisions., people should make their own decisions
p343_270,0.0,0.0,5.0,4.878048780487805,That is a question for the next manager., that is a question for the next manager
p343_271,0.0,0.0,3.125,3.0303030303030303,I knew people on that committee., I knew people on that committee
p343_273,0.0,0.0,9.523809523809524,9.090909090909092,"Again, we were lucky."," again, we were lucky"
p343_274,0.0,0.0,9.090909090909092,8.695652173913043,There was no argument., there was no argument
p343_275,0.0,0.0,4.545454545454546,4.444444444444445,He certainly didn't say he was a journalist., he certainly didn't say he was a journalist
p343_276,0.0,0.0,7.6923076923076925,7.5,She is a valuable member of Government., she is a valuable member of government
p343_277,0.0,0.0,3.8461538461538463,3.7037037037037033,I just need a bit of luck., I just need a bit of luck
p343_278,0.0,0.0,4.761904761904762,4.651162790697675,But it's not the end of Scottish football., but it's not the end of Scottish football
p343_279,0.0,0.0,6.25,6.0606060606060606,We are talking about one family., we are talking about one family
p343_280,0.0,0.0,0.0,0.0,He is not a pathetic figure., He is not a pathetic figure.
